group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-141.8905,0.0,-173.2631,-110.5179,True
sp0.50,sp0.70,-232.3476,0.0,-266.9244,-197.7708,True
sp0.50,sp0.80,-360.081,0.0,-390.374,-329.7879,True
sp0.50,sp0.90,-487.2143,0.0,-521.6278,-452.8008,True
sp0.50,sp1.00,-566.5143,0.0,-598.452,-534.5766,True
sp0.60,sp0.70,-90.4571,0.0,-123.1028,-57.8115,True
sp0.60,sp0.80,-218.1905,0.0,-246.2592,-190.1218,True
sp0.60,sp0.90,-345.3238,0.0,-377.7964,-312.8512,True
sp0.60,sp1.00,-424.6238,0.0,-454.46,-394.7876,True
sp0.70,sp0.80,-127.7333,0.0,-159.3429,-96.1238,True
sp0.70,sp0.90,-254.8667,0.0,-290.4445,-219.2888,True
sp0.70,sp1.00,-334.1667,0.0,-367.3557,-300.9776,True
sp0.80,sp0.90,-127.1333,0.0,-158.5642,-95.7025,True
sp0.80,sp1.00,-206.4333,0.0,-235.1322,-177.7345,True
sp0.90,sp1.00,-79.3,0.0,-112.3189,-46.2811,True
