group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-84.0429,0.0008,-130.6348,-37.4509,True
sp0.50,sp0.70,-100.8714,0.0,-143.0492,-58.6937,True
sp0.50,sp0.80,-89.7619,0.002,-144.511,-35.0128,True
sp0.50,sp0.90,-111.8048,0.0,-156.5244,-67.0852,True
sp0.50,sp1.00,-66.5524,0.002,-107.2511,-25.8537,True
nos,sp0.50,-118.281,0.0,-160.8819,-75.68,True
sp0.60,sp0.70,-16.8286,0.363,-53.7895,20.1323,False
sp0.60,sp0.80,-5.719,0.8213,-56.5581,45.12,False
sp0.60,sp0.90,-27.7619,0.1667,-67.5989,12.0751,False
sp0.60,sp1.00,17.4905,0.3222,-17.7732,52.7541,False
nos,sp0.60,-202.3238,0.0,-239.7669,-164.8807,True
sp0.70,sp0.80,11.1095,0.6342,-35.7174,57.9365,False
sp0.70,sp0.90,-10.9333,0.5263,-45.5042,23.6375,False
sp0.70,sp1.00,34.319,0.0223,5.1354,63.5026,True
nos,sp0.70,-219.1524,0.0,-250.9351,-187.3697,True
sp0.80,sp0.90,-22.0429,0.3699,-71.1717,27.086,False
sp0.80,sp1.00,23.2095,0.3088,-22.2897,68.7088,False
nos,sp0.80,-208.0429,0.0,-255.2513,-160.8344,True
sp0.90,sp1.00,45.2524,0.008,12.5024,78.0024,True
nos,sp0.90,-230.0857,0.0,-265.1716,-194.9998,True
nos,sp1.00,-184.8333,0.0,-214.6253,-155.0414,True
