group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-103.0214,0.0702,-214.9538,8.911,False
sp0.50,sp0.70,-100.9314,0.0469,-200.4024,-1.4604,True
sp0.50,sp0.80,-152.8919,0.0043,-254.9507,-50.8332,True
sp0.50,sp0.90,-170.4262,0.0007,-264.4228,-76.4296,True
sp0.50,sp1.00,-136.3586,0.0157,-245.5941,-27.123,True
nos,sp0.50,-313.8633,0.0001,-458.6802,-169.0465,True
sp0.60,sp0.70,2.09,0.9633,-89.1379,93.3179,False
sp0.60,sp0.80,-49.8705,0.2902,-143.9132,44.1723,False
sp0.60,sp0.90,-67.4048,0.1178,-152.6304,17.8209,False
sp0.60,sp1.00,-33.3371,0.5118,-135.1235,68.4492,False
nos,sp0.60,-416.8848,0.0,-556.1685,-277.601,True
sp0.70,sp0.80,-51.9605,0.1902,-130.7619,26.8409,False
sp0.70,sp0.90,-69.4948,0.0455,-137.5317,-1.4578,True
sp0.70,sp1.00,-35.4271,0.4201,-123.3253,52.471,False
nos,sp0.70,-414.7948,0.0,-544.2768,-285.3128,True
sp0.80,sp0.90,-17.5343,0.6242,-89.3015,54.233,False
sp0.80,sp1.00,16.5333,0.7149,-74.2829,107.3496,False
nos,sp0.80,-466.7552,0.0,-598.2356,-335.2748,True
sp0.90,sp1.00,34.0676,0.4041,-47.5838,115.7191,False
nos,sp0.90,-484.2895,0.0,-609.615,-358.9641,True
nos,sp1.00,-450.2219,0.0,-587.3478,-313.096,True
