group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-1447250000.0,0.0,-1796153947.7763,-1098346052.2237,True
sp0.50,sp0.70,-2128824285.7143,0.0,-2407631473.9062,-1850017097.5223,True
sp0.50,sp0.80,-2500994761.9048,0.0,-2775573016.9142,-2226416506.8953,True
sp0.50,sp0.90,-2684960952.381,0.0,-2956009600.6539,-2413912304.108,True
sp0.50,sp1.00,-2721927647.619,0.0,-2993744711.5434,-2450110583.6947,True
nos,sp0.50,-348009523.8095,0.0828,-743277782.8833,47258735.2643,False
sp0.60,sp0.70,-681574285.7143,0.0,-911934119.5735,-451214451.855,True
sp0.60,sp0.80,-1053744761.9048,0.0,-1278967813.5495,-828521710.26,True
sp0.60,sp0.90,-1237710952.381,0.0,-1458617209.8721,-1016804694.8898,True
sp0.60,sp1.00,-1274677647.619,0.0,-1496526066.835,-1052829228.4031,True
nos,sp0.60,-1795259523.8095,0.0,-2157984214.8624,-1432534832.7567,True
sp0.70,sp0.80,-372170476.1905,0.0,-454176002.8688,-290164949.5121,True
sp0.70,sp0.90,-556136666.6667,0.0,-625411900.4255,-486861432.9078,True
sp0.70,sp1.00,-593103361.9048,0.0,-665326658.1617,-520880065.6478,True
nos,sp0.70,-2476833809.5238,0.0,-2772753874.5971,-2180913744.4505,True
sp0.80,sp0.90,-183966190.4762,0.0,-233552760.7234,-134379620.229,True
sp0.80,sp1.00,-220932885.7143,0.0,-274560998.293,-167304773.1356,True
nos,sp0.80,-2849004285.7143,0.0,-3140943414.3859,-2557065157.0427,True
sp0.90,sp1.00,-36966695.2381,0.02,-67790810.2344,-6142580.2418,True
nos,sp0.90,-3032970476.1905,0.0,-3321592385.3659,-2744348567.015,True
nos,sp1.00,-3069937171.4286,0.0,-3359280830.3637,-2780593512.4935,True
