group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-2083.0576,0.0,-2222.1551,-1943.9601,True
sp0.50,sp0.70,-2083.2924,0.0,-2222.3899,-1944.1949,True
sp0.50,sp0.80,-2083.3333,0.0,-2222.4308,-1944.2358,True
sp0.50,sp0.90,-2083.3386,0.0,-2222.4361,-1944.2411,True
sp0.50,sp1.00,-2083.3395,0.0,-2222.437,-1944.242,True
nos,sp0.50,1410.97,0.0,1228.5704,1593.3696,True
sp0.60,sp0.70,-0.2348,0.0,-0.2931,-0.1764,True
sp0.60,sp0.80,-0.2757,0.0,-0.3318,-0.2196,True
sp0.60,sp0.90,-0.281,0.0,-0.3368,-0.2251,True
sp0.60,sp1.00,-0.2819,0.0,-0.3378,-0.2261,True
nos,sp0.60,-672.0876,0.0,-790.0771,-554.0982,True
sp0.70,sp0.80,-0.041,0.0001,-0.0596,-0.0223,True
sp0.70,sp0.90,-0.0462,0.0,-0.0642,-0.0282,True
sp0.70,sp1.00,-0.0471,0.0,-0.065,-0.0293,True
nos,sp0.70,-672.3224,0.0,-790.3118,-554.3329,True
sp0.80,sp0.90,-0.0052,0.2161,-0.0137,0.0032,False
sp0.80,sp1.00,-0.0062,0.1329,-0.0143,0.002,False
nos,sp0.80,-672.3633,0.0,-790.3528,-554.3739,True
sp0.90,sp1.00,-0.001,0.7676,-0.0074,0.0055,False
nos,sp0.90,-672.3686,0.0,-790.358,-554.3791,True
nos,sp1.00,-672.3695,0.0,-790.359,-554.3801,True
