group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-30.8776,0.1267,-70.8889,9.1336,False
sp0.50,sp0.70,-54.0043,0.0016,-86.2812,-21.7274,True
sp0.50,sp0.80,-53.241,0.0072,-91.2417,-15.2402,True
sp0.50,sp0.90,-50.1667,0.0111,-88.2552,-12.0782,True
sp0.50,sp1.00,-54.21,0.0017,-86.834,-21.586,True
sp0.60,sp0.70,-23.1267,0.1229,-52.7815,6.5282,False
sp0.60,sp0.80,-22.3633,0.2141,-58.1638,13.4371,False
sp0.60,sp0.90,-19.289,0.2839,-55.1826,16.6045,False
sp0.60,sp1.00,-23.3324,0.1242,-53.3647,6.6999,False
sp0.70,sp0.80,0.7633,0.9545,-26.1173,27.644,False
sp0.70,sp0.90,3.8376,0.7754,-23.1669,30.8422,False
sp0.70,sp1.00,-0.2057,0.9822,-18.7215,18.3101,False
sp0.80,sp0.90,3.0743,0.8544,-30.5636,36.7122,False
sp0.80,sp1.00,-0.969,0.9432,-28.2656,26.3275,False
sp0.90,sp1.00,-4.0433,0.7672,-31.4618,23.3752,False
