group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-4033.9095,0.1346,-9372.7652,1304.9462,False
sp0.50,sp0.70,-6531.3286,0.0233,-12125.4358,-937.2213,True
sp0.50,sp0.80,-9142.081,0.0012,-14450.998,-3833.1639,True
sp0.50,sp0.90,-11427.4667,0.0001,-16648.1106,-6206.8227,True
sp0.50,sp1.00,-26495.9576,0.0,-31307.63,-21684.2852,True
nos,sp0.50,-1358.4238,0.6617,-7587.1412,4870.2936,False
sp0.60,sp0.70,-2497.419,0.1771,-6170.8904,1176.0523,False
sp0.60,sp0.80,-5108.1714,0.0027,-8330.7412,-1885.6017,True
sp0.60,sp0.90,-7393.5571,0.0,-10468.5333,-4318.581,True
sp0.60,sp1.00,-22462.0481,0.0,-24775.6052,-20148.491,True
nos,sp0.60,-5392.3333,0.0223,-9974.6118,-810.0549,True
sp0.70,sp0.80,-2610.7524,0.1538,-6240.5749,1019.0702,False
sp0.70,sp0.90,-4896.1381,0.0073,-8395.5858,-1396.6904,True
sp0.70,sp1.00,-19964.629,0.0,-22818.2587,-17110.9994,True
nos,sp0.70,-7889.7524,0.0022,-12767.0397,-3012.465,True
sp0.80,sp0.90,-2285.3857,0.1344,-5308.0829,737.3115,False
sp0.80,sp1.00,-17353.8767,0.0,-19597.4824,-15110.2709,True
nos,sp0.80,-10500.5048,0.0,-15047.8662,-5953.1433,True
sp0.90,sp1.00,-15068.491,0.0,-17094.3955,-13042.5864,True
nos,sp0.90,-12785.8905,0.0,-17229.8773,-8341.9037,True
nos,sp1.00,-27854.3814,0.0,-31809.8949,-23898.868,True
