group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-34528847.0276,0.0,-48824748.6012,-20232945.4541,True
sp0.50,sp0.70,-34528893.0681,0.0,-48824794.6416,-20232991.4946,True
sp0.50,sp0.80,-34528897.1086,0.0,-48824798.6821,-20232995.5351,True
sp0.50,sp0.90,-34528898.3881,0.0,-48824799.9616,-20232996.8146,True
sp0.50,sp1.00,-34528898.1205,0.0,-48824799.694,-20232996.547,True
nos,sp0.50,34528515.9948,0.0,20232614.4196,48824417.5699,True
sp0.60,sp0.70,-46.0405,0.0251,-86.0362,-6.0447,True
sp0.60,sp0.80,-50.081,0.014,-89.469,-10.6929,True
sp0.60,sp0.90,-51.3605,0.0116,-90.5998,-12.1212,True
sp0.60,sp1.00,-51.0929,0.0122,-90.4326,-11.7532,True
nos,sp0.60,-331.0329,0.0042,-551.1571,-110.9086,True
sp0.70,sp0.80,-4.0405,0.3879,-13.3941,5.3132,False
sp0.70,sp0.90,-5.32,0.224,-14.0259,3.3859,False
sp0.70,sp1.00,-5.0524,0.271,-14.2002,4.0954,False
nos,sp0.70,-377.0733,0.0011,-593.8468,-160.2998,True
sp0.80,sp0.90,-1.2795,0.6249,-6.5285,3.9695,False
sp0.80,sp1.00,-1.0119,0.733,-6.9652,4.9414,False
nos,sp0.80,-381.1138,0.001,-597.776,-164.4516,True
sp0.90,sp1.00,0.2676,0.9122,-4.6051,5.1404,False
nos,sp0.90,-382.3933,0.001,-599.0285,-165.7581,True
nos,sp1.00,-382.1257,0.001,-598.7791,-165.4723,True
