group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-3.4429,0.0001,-4.9861,-1.8996,True
sp0.50,sp0.70,-5.3619,0.0,-6.6806,-4.0432,True
sp0.50,sp0.80,-6.4476,0.0,-7.7581,-5.1372,True
sp0.50,sp0.90,-7.3381,0.0,-8.6349,-6.0412,True
sp0.50,sp1.00,-7.4905,0.0,-8.7834,-6.1976,True
sp0.60,sp0.70,-1.919,0.0005,-2.9391,-0.899,True
sp0.60,sp0.80,-3.0048,0.0,-4.0141,-1.9954,True
sp0.60,sp0.90,-3.8952,0.0,-4.8869,-2.9036,True
sp0.60,sp1.00,-4.0476,0.0,-5.0341,-3.0612,True
sp0.70,sp0.80,-1.0857,0.0009,-1.6991,-0.4723,True
sp0.70,sp0.90,-1.9762,0.0,-2.5599,-1.3924,True
sp0.70,sp1.00,-2.1286,0.0,-2.7035,-1.5537,True
sp0.80,sp0.90,-0.8905,0.0028,-1.4553,-0.3256,True
sp0.80,sp1.00,-1.0429,0.0005,-1.5985,-0.4872,True
sp0.90,sp1.00,-0.1524,0.5591,-0.6752,0.3704,False
