group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-110.1667,0.222,-289.6488,69.3155,False
sp0.50,sp0.70,-449.2238,0.0,-645.0511,-253.3965,True
sp0.50,sp0.80,-862.0857,0.0,-1073.8894,-650.282,True
sp0.50,sp0.90,-1403.8714,0.0,-1599.1951,-1208.5477,True
sp0.50,sp1.00,-6140.3524,0.0,-6291.4886,-5989.2162,True
sp0.60,sp0.70,-339.0571,0.0002,-506.0111,-172.1032,True
sp0.60,sp0.80,-751.919,0.0,-937.354,-566.4841,True
sp0.60,sp0.90,-1293.7048,0.0,-1460.0678,-1127.3417,True
sp0.60,sp1.00,-6030.1857,0.0,-6141.3948,-5918.9767,True
sp0.70,sp0.80,-412.8619,0.0002,-614.1592,-211.5646,True
sp0.70,sp0.90,-954.6476,0.0,-1138.5257,-770.7696,True
sp0.70,sp1.00,-5691.1286,0.0,-5827.1504,-5555.1068,True
sp0.80,sp0.90,-541.7857,0.0,-742.5932,-340.9783,True
sp0.80,sp1.00,-5278.2667,0.0,-5436.4262,-5120.1072,True
sp0.90,sp1.00,-4736.481,0.0,-4871.7768,-4601.1852,True
