group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-16.3143,0.0029,-26.7173,-5.9113,True
sp0.50,sp0.70,-19.8238,0.0004,-30.0934,-9.5543,True
sp0.50,sp0.80,-22.2905,0.0001,-32.2384,-12.3426,True
sp0.50,sp0.90,-19.9048,0.0004,-30.4175,-9.392,True
sp0.50,sp1.00,-23.4952,0.0,-33.0851,-13.9053,True
sp0.60,sp0.70,-3.5095,0.3325,-10.7399,3.7209,False
sp0.60,sp0.80,-5.9762,0.0818,-12.7419,0.7896,False
sp0.60,sp0.90,-3.5905,0.3436,-11.1623,3.9814,False
sp0.60,sp1.00,-7.181,0.0249,-13.4084,-0.9535,True
sp0.70,sp0.80,-2.4667,0.4516,-9.0254,4.092,False
sp0.70,sp0.90,-0.081,0.9824,-7.4684,7.3064,False
sp0.70,sp1.00,-3.6714,0.2235,-9.6732,2.3304,False
sp0.80,sp0.90,2.3857,0.4908,-4.5476,9.319,False
sp0.80,sp1.00,-1.2048,0.6565,-6.6379,4.2284,False
sp0.90,sp1.00,-3.5905,0.2643,-9.9995,2.8186,False
