group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-251042523.8095,0.015,-450549037.9857,-51536009.6333,True
sp0.50,sp0.70,-422596714.2857,0.0,-588287044.9187,-256906383.6527,True
sp0.50,sp0.80,-475600047.619,0.0,-622994373.3211,-328205721.917,True
sp0.50,sp0.90,-466202428.5714,0.0,-617527715.9246,-314877141.2182,True
sp0.50,sp1.00,-502225000.0,0.0,-648009751.9577,-356440248.0423,True
nos,sp0.50,-381649523.8095,0.0003,-575302878.5324,-187996169.0866,True
sp0.60,sp0.70,-171554190.4762,0.038,-333146495.6815,-9961885.2709,True
sp0.60,sp0.80,-224557523.8095,0.0029,-367329631.3286,-81785416.2905,True
sp0.60,sp0.90,-215159904.7619,0.0051,-361986775.6977,-68333033.8261,True
sp0.60,sp1.00,-251182476.1905,0.0009,-392292296.3294,-110072656.0516,True
nos,sp0.60,-632692047.619,0.0,-822850952.8318,-442533142.4063,True
sp0.70,sp0.80,-53003333.3333,0.2391,-142637652.3857,36630985.719,False
sp0.70,sp0.90,-43605714.2857,0.3639,-139566990.3056,52355561.7342,False
sp0.70,sp1.00,-79628285.7143,0.0716,-166590448.7864,7333877.3579,False
nos,sp0.70,-804246238.0952,0.0,-958553871.407,-649938604.7835,True
sp0.80,sp0.90,9397619.0476,0.7492,-49597025.4486,68392263.5438,False
sp0.80,sp1.00,-26624952.381,0.2162,-69452739.9733,16202835.2114,False
nos,sp0.80,-857249571.4286,0.0,-991721305.5668,-722777837.2904,True
sp0.90,sp1.00,-36022571.4286,0.1919,-90872135.9978,18826993.1407,False
nos,sp0.90,-847851952.381,0.0,-986621194.7422,-709082710.0197,True
nos,sp1.00,-883874523.8095,0.0,-1016580039.657,-751169007.9621,True
