group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-413.2857,0.0,-504.9131,-321.6583,True
sp0.50,sp0.70,-475.6476,0.0,-555.005,-396.2902,True
sp0.50,sp0.80,-527.4143,0.0,-591.6992,-463.1294,True
sp0.50,sp0.90,-539.4381,0.0,-600.6333,-478.2429,True
sp0.50,sp1.00,-540.8286,0.0,-600.7432,-480.9139,True
nos,sp0.50,365.2381,0.0,269.5831,460.8931,True
sp0.60,sp0.70,-62.3619,0.2489,-170.0732,45.3494,False
sp0.60,sp0.80,-114.1286,0.0225,-211.2711,-16.986,True
sp0.60,sp0.90,-126.1524,0.0106,-221.2785,-31.0263,True
sp0.60,sp1.00,-127.5429,0.0093,-221.8503,-33.2354,True
nos,sp0.60,-48.0476,0.424,-168.2725,72.1772,False
sp0.70,sp0.80,-51.7667,0.2291,-137.4328,33.8995,False
sp0.70,sp0.90,-63.7905,0.1299,-147.1631,19.5821,False
sp0.70,sp1.00,-65.181,0.1179,-147.6183,17.2564,False
nos,sp0.70,-110.4095,0.0515,-221.5672,0.7482,False
sp0.80,sp0.90,-12.0238,0.7272,-81.2044,57.1567,False
sp0.80,sp1.00,-13.4143,0.6925,-81.4648,54.6362,False
nos,sp0.80,-162.1762,0.0024,-263.1266,-61.2258,True
sp0.90,sp1.00,-1.3905,0.9658,-66.5301,63.7491,False
nos,sp0.90,-174.2,0.001,-273.2116,-75.1884,True
nos,sp1.00,-175.5905,0.0008,-273.8158,-77.3652,True
