group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-381.7381,0.0,-492.837,-270.6392,True
sp0.50,sp0.70,-382.2714,0.0,-493.3701,-271.1727,True
sp0.50,sp0.80,-382.7762,0.0,-493.8744,-271.6779,True
sp0.50,sp0.90,-382.8095,0.0,-493.9078,-271.7113,True
sp0.50,sp1.00,-382.819,0.0,-493.9173,-271.7208,True
nos,sp0.50,378.4286,0.0,267.3286,489.5285,True
sp0.60,sp0.70,-0.5333,0.0682,-1.1085,0.0418,False
sp0.60,sp0.80,-1.0381,0.0001,-1.5196,-0.5566,True
sp0.60,sp0.90,-1.0714,0.0001,-1.5488,-0.5941,True
sp0.60,sp1.00,-1.081,0.0001,-1.5633,-0.5986,True
nos,sp0.60,-3.3095,0.0,-4.0889,-2.5302,True
sp0.70,sp0.80,-0.5048,0.0246,-0.9416,-0.0679,True
sp0.70,sp0.90,-0.5381,0.016,-0.9703,-0.1059,True
sp0.70,sp1.00,-0.5476,0.0155,-0.9853,-0.1099,True
nos,sp0.70,-3.8429,0.0,-4.5954,-3.0903,True
sp0.80,sp0.90,-0.0333,0.8213,-0.3297,0.2631,False
sp0.80,sp1.00,-0.0429,0.7774,-0.3472,0.2615,False
nos,sp0.80,-4.3476,0.0,-5.0313,-3.664,True
sp0.90,sp1.00,-0.0095,0.9488,-0.3072,0.2882,False
nos,sp0.90,-4.381,0.0,-5.0616,-3.7003,True
nos,sp1.00,-4.3905,0.0,-5.0747,-3.7063,True
