group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-0.7281,0.0041,-1.2116,-0.2446,True
sp0.50,sp0.70,-0.7929,0.0004,-1.2107,-0.3751,True
sp0.50,sp0.80,-0.6033,0.0085,-1.0438,-0.1628,True
sp0.50,sp0.90,-0.9152,0.0025,-1.4894,-0.341,True
sp0.50,sp1.00,-0.6714,0.0031,-1.102,-0.2408,True
nos,sp0.50,-0.6805,0.0012,-1.0741,-0.2869,True
sp0.60,sp0.70,-0.0648,0.7886,-0.5496,0.4201,False
sp0.60,sp0.80,0.1248,0.62,-0.3798,0.6293,False
sp0.60,sp0.90,-0.1871,0.5483,-0.8118,0.4375,False
sp0.60,sp1.00,0.0567,0.8185,-0.4392,0.5526,False
nos,sp0.60,-1.4086,0.0,-1.8727,-0.9445,True
sp0.70,sp0.80,0.1895,0.3913,-0.2525,0.6315,False
sp0.70,sp0.90,-0.1224,0.6696,-0.6977,0.453,False
sp0.70,sp1.00,0.1214,0.5732,-0.3107,0.5535,False
nos,sp0.70,-1.4733,0.0,-1.8686,-1.0781,True
sp0.80,sp0.90,-0.3119,0.2934,-0.9039,0.2801,False
sp0.80,sp1.00,-0.0681,0.7634,-0.5222,0.386,False
nos,sp0.80,-1.2838,0.0,-1.703,-0.8647,True
sp0.90,sp1.00,0.2438,0.4044,-0.3409,0.8285,False
nos,sp0.90,-1.5957,0.0,-2.1537,-1.0377,True
nos,sp1.00,-1.3519,0.0,-1.7606,-0.9432,True
