group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-27316.0481,0.0022,-44205.2556,-10426.8406,True
sp0.50,sp0.70,-27316.0738,0.0022,-44205.2814,-10426.8663,True
sp0.50,sp0.80,-27316.0929,0.0022,-44205.3004,-10426.8853,True
sp0.50,sp0.90,-27316.0481,0.0022,-44205.2556,-10426.8405,True
sp0.50,sp1.00,-27316.0895,0.0022,-44205.2971,-10426.882,True
nos,sp0.50,27313.2738,0.0022,10424.0663,44202.4814,True
sp0.60,sp0.70,-0.0257,0.8386,-0.2792,0.2278,False
sp0.60,sp0.80,-0.0448,0.7332,-0.3083,0.2187,False
sp0.60,sp0.90,0.0,1.0,-0.3312,0.3312,False
sp0.60,sp1.00,-0.0414,0.7308,-0.2831,0.2002,False
nos,sp0.60,-2.7743,0.0,-3.0866,-2.462,True
sp0.70,sp0.80,-0.019,0.8891,-0.2933,0.2552,False
sp0.70,sp0.90,0.0257,0.8792,-0.314,0.3655,False
sp0.70,sp1.00,-0.0157,0.9008,-0.269,0.2376,False
nos,sp0.70,-2.8,0.0,-3.1214,-2.4786,True
sp0.80,sp0.90,0.0448,0.7958,-0.3025,0.3921,False
sp0.80,sp1.00,0.0033,0.9797,-0.26,0.2666,False
nos,sp0.80,-2.819,0.0,-3.1484,-2.4897,True
sp0.90,sp1.00,-0.0414,0.8016,-0.3724,0.2896,False
nos,sp0.90,-2.7743,0.0,-3.1599,-2.3887,True
nos,sp1.00,-2.8157,0.0,-3.1278,-2.5036,True
