group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-7438.2519,0.0,-7676.7914,-7199.7124,True
sp0.50,sp0.70,-8075.5762,0.0,-8292.0062,-7859.1461,True
sp0.50,sp0.80,-8252.3362,0.0,-8449.8949,-8054.7774,True
sp0.50,sp0.90,-8322.399,0.0,-8516.7922,-8128.0059,True
sp0.50,sp1.00,-8313.979,0.0,-8508.8955,-8119.0626,True
nos,sp0.50,2576.4857,0.0,2147.5823,3005.3892,True
sp0.60,sp0.70,-637.3243,0.0,-807.8406,-466.808,True
sp0.60,sp0.80,-814.0843,0.0,-959.9038,-668.2648,True
sp0.60,sp0.90,-884.1471,0.0,-1025.6483,-742.646,True
sp0.60,sp1.00,-875.7271,0.0,-1017.9462,-733.508,True
nos,sp0.60,-4861.7662,0.0,-5269.4328,-4454.0996,True
sp0.70,sp0.80,-176.76,0.0017,-282.6098,-70.9102,True
sp0.70,sp0.90,-246.8229,0.0,-346.6399,-147.0059,True
sp0.70,sp1.00,-238.4029,0.0,-339.2351,-137.5706,True
nos,sp0.70,-5499.0905,0.0,-5894.227,-5103.9539,True
sp0.80,sp0.90,-70.0629,0.004,-116.441,-23.6847,True
sp0.80,sp1.00,-61.6429,0.0141,-110.1675,-13.1182,True
nos,sp0.80,-5675.8505,0.0,-6060.9744,-5290.7266,True
sp0.90,sp1.00,8.42,0.6129,-24.955,41.795,False
nos,sp0.90,-5745.9133,0.0,-6129.423,-5362.4037,True
nos,sp1.00,-5737.4933,0.0,-6121.2685,-5353.7182,True
