group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-0.7533,0.0002,-1.1311,-0.3756,True
sp0.50,sp0.70,-1.3733,0.0,-1.7779,-0.9688,True
sp0.50,sp0.80,-1.5557,0.0,-1.9168,-1.1947,True
sp0.50,sp0.90,-2.2938,0.0,-2.6273,-1.9603,True
sp0.50,sp1.00,-3.8786,0.0,-4.1645,-3.5927,True
nos,sp0.50,-0.0329,0.8858,-0.4921,0.4264,False
sp0.60,sp0.70,-0.62,0.0037,-1.0258,-0.2142,True
sp0.60,sp0.80,-0.8024,0.0001,-1.1648,-0.44,True
sp0.60,sp0.90,-1.5405,0.0,-1.8755,-1.2055,True
sp0.60,sp1.00,-3.1252,0.0,-3.4129,-2.8376,True
nos,sp0.60,-0.7862,0.0013,-1.2465,-0.3259,True
sp0.70,sp0.80,-0.1824,0.3506,-0.5727,0.2079,False
sp0.70,sp0.90,-0.9205,0.0,-1.2855,-0.5555,True
sp0.70,sp1.00,-2.5052,0.0,-2.8273,-2.1832,True
nos,sp0.70,-1.4062,0.0,-1.8888,-0.9236,True
sp0.80,sp0.90,-0.7381,0.0,-1.0541,-0.4221,True
sp0.80,sp1.00,-2.3229,0.0,-2.5882,-2.0576,True
nos,sp0.80,-1.5886,0.0,-2.0353,-1.1419,True
sp0.90,sp1.00,-1.5848,0.0,-1.8112,-1.3583,True
nos,sp0.90,-2.3267,0.0,-2.7514,-1.9019,True
nos,sp1.00,-3.9114,0.0,-4.2999,-3.5229,True
