group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-0.0714,0.9115,-1.3619,1.219,False
sp0.50,sp0.70,-0.6857,0.2718,-1.9295,0.558,False
sp0.50,sp0.80,-0.6476,0.3295,-1.9736,0.6784,False
sp0.50,sp0.90,-1.2095,0.0425,-2.3763,-0.0427,True
sp0.50,sp1.00,-1.181,0.0258,-2.2116,-0.1503,True
sp0.60,sp0.70,-0.6143,0.2971,-1.7895,0.5609,False
sp0.60,sp0.80,-0.5762,0.3616,-1.8381,0.6857,False
sp0.60,sp0.90,-1.1381,0.0417,-2.2315,-0.0446,True
sp0.60,sp1.00,-1.1095,0.0228,-2.0564,-0.1627,True
sp0.70,sp0.80,0.0381,0.9498,-1.176,1.2522,False
sp0.70,sp0.90,-0.5238,0.3139,-1.5617,0.5141,False
sp0.70,sp1.00,-0.4952,0.2633,-1.3773,0.3869,False
sp0.80,sp0.90,-0.5619,0.3231,-1.697,0.5732,False
sp0.80,sp1.00,-0.5333,0.285,-1.528,0.4614,False
sp0.90,sp1.00,0.0286,0.9406,-0.7413,0.7984,False
