group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-56399.8571,0.0674,-117031.7594,4232.0451,False
sp0.50,sp0.70,-63596.4686,0.0401,-124190.0092,-3002.928,True
sp0.50,sp0.80,-63911.1776,0.0392,-124504.4178,-3317.9374,True
sp0.50,sp0.90,-64013.7505,0.0389,-124606.9542,-3420.5467,True
sp0.50,sp1.00,-63919.951,0.0392,-124513.3899,-3326.512,True
nos,sp0.50,40410.9048,0.1861,-20301.4569,101123.2664,False
sp0.60,sp0.70,-7196.6114,0.0,-9392.4652,-5000.7577,True
sp0.60,sp0.80,-7511.3205,0.0,-9698.869,-5323.7719,True
sp0.60,sp0.90,-7613.8933,0.0,-9800.4319,-5427.3547,True
sp0.60,sp1.00,-7520.0938,0.0,-9713.1417,-5327.0459,True
nos,sp0.60,-15988.9524,0.0,-20374.7781,-11603.1267,True
sp0.70,sp0.80,-314.709,0.0911,-682.0736,52.6555,False
sp0.70,sp0.90,-417.2819,0.0247,-778.5838,-55.98,True
sp0.70,sp1.00,-323.4824,0.109,-722.2894,75.3247,False
nos,sp0.70,-23185.5638,0.0,-27004.6023,-19366.5253,True
sp0.80,sp0.90,-102.5729,0.5031,-409.3856,204.2398,False
sp0.80,sp1.00,-8.7733,0.9599,-358.9762,341.4295,False
nos,sp0.80,-23500.2729,0.0,-27314.5421,-19686.0036,True
sp0.90,sp1.00,93.7995,0.5845,-250.0382,437.6372,False
nos,sp0.90,-23602.8457,0.0,-27416.5359,-19789.1556,True
nos,sp1.00,-23509.0462,0.0,-27326.4721,-19691.6203,True
