group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-116.1238,0.013,-206.4447,-25.8029,True
sp0.50,sp0.70,-177.9,0.0009,-277.9905,-77.8095,True
sp0.50,sp0.80,-264.6048,0.0,-348.7612,-180.4483,True
sp0.50,sp0.90,-306.4571,0.0,-379.6635,-233.2508,True
sp0.50,sp1.00,-320.8857,0.0,-391.9977,-249.7737,True
sp0.60,sp0.70,-61.7762,0.2625,-171.6354,48.0831,False
sp0.60,sp0.80,-148.481,0.0032,-244.049,-52.9129,True
sp0.60,sp0.90,-190.3333,0.0001,-276.4154,-104.2513,True
sp0.60,sp1.00,-204.7619,0.0,-289.0701,-120.4538,True
sp0.70,sp0.80,-86.7048,0.1025,-191.5546,18.1451,False
sp0.70,sp0.90,-128.5571,0.0102,-224.8398,-32.2744,True
sp0.70,sp1.00,-142.9857,0.004,-237.6858,-48.2856,True
sp0.80,sp0.90,-41.8524,0.2943,-121.4423,37.7376,False
sp0.80,sp1.00,-56.281,0.1509,-133.9489,21.387,False
sp0.90,sp1.00,-14.4286,0.6593,-80.0728,51.2157,False
