group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-964.619,0.8616,-12079.5691,10150.331,False
sp0.50,sp0.70,-17849.9524,0.0004,-27095.8741,-8604.0307,True
sp0.50,sp0.80,-20205.2857,0.0,-29143.2027,-11267.3687,True
sp0.50,sp0.90,-30268.0952,0.0,-38967.3995,-21568.791,True
sp0.50,sp1.00,-114203.8886,0.0,-121559.1965,-106848.5806,True
nos,sp0.50,-666.5238,0.9072,-12148.8975,10815.8499,False
sp0.60,sp0.70,-16885.3333,0.0016,-26932.6191,-6838.0475,True
sp0.60,sp0.80,-19240.6667,0.0003,-29005.258,-9476.0753,True
sp0.60,sp0.90,-29303.4762,0.0,-38850.1394,-19756.813,True
sp0.60,sp1.00,-113239.2695,0.0,-121579.6196,-104898.9195,True
nos,sp0.60,-1631.1429,0.7873,-13768.1025,10505.8168,False
sp0.70,sp0.80,-2355.3333,0.533,-9924.4943,5213.8276,False
sp0.70,sp0.90,-12418.1429,0.0014,-19704.0012,-5132.2846,True
sp0.70,sp1.00,-96353.9362,0.0,-101966.9917,-90740.8807,True
nos,sp0.70,-18516.4762,0.0009,-28968.7842,-8064.1682,True
sp0.80,sp0.90,-10062.8095,0.0053,-16953.6022,-3172.0169,True
sp0.80,sp1.00,-93998.6029,0.0,-99088.3655,-88908.8402,True
nos,sp0.80,-20871.8095,0.0002,-31052.6757,-10690.9434,True
sp0.90,sp1.00,-83935.7933,0.0,-88593.8206,-79277.7661,True
nos,sp0.90,-30934.619,0.0,-40906.6584,-20962.5797,True
nos,sp1.00,-114870.4124,0.0,-123694.4834,-106046.3413,True
