group1,group2,meandiff,p-adj,lower,upper,reject
sp0.50,sp0.60,-15158123.8095,0.0,-21299291.1506,-9016956.4684,True
sp0.50,sp0.70,-19201169.0476,0.0,-25049989.5617,-13352348.5335,True
sp0.50,sp0.80,-19795863.0952,0.0,-25635512.3605,-13956213.83,True
sp0.50,sp0.90,-19847256.9762,0.0,-25686889.2195,-14007624.7329,True
sp0.50,sp1.00,-19847918.8762,0.0,-25687551.1932,-14008286.5591,True
nos,sp0.50,-6059752.381,0.2234,-15961860.5138,3842355.7519,False
sp0.60,sp0.70,-4043045.2381,0.0001,-5971784.2501,-2114306.2261,True
sp0.60,sp0.80,-4637739.2857,0.0,-6538485.5369,-2736993.0346,True
sp0.60,sp0.90,-4689133.1667,0.0,-6589827.1207,-2788439.2126,True
sp0.60,sp1.00,-4689795.0667,0.0,-6590489.2475,-2789100.8859,True
nos,sp0.60,-21217876.1905,0.0,-29437552.4763,-12998199.9046,True
sp0.70,sp0.80,-594694.0476,0.0007,-922720.5794,-266667.5158,True
sp0.70,sp0.90,-646087.9286,0.0003,-973811.2897,-318364.5675,True
sp0.70,sp1.00,-646749.8286,0.0003,-974474.5045,-319025.1527,True
nos,sp0.70,-25260921.4286,0.0,-33264535.8207,-17257307.0364,True
sp0.80,sp0.90,-51393.881,0.0,-65702.4859,-37085.2761,True
sp0.80,sp1.00,-52055.781,0.0,-66394.4686,-37717.0933,True
nos,sp0.80,-25855615.4762,0.0,-33852530.2234,-17858700.729,True
sp0.90,sp1.00,-661.9,0.6106,-3268.396,1944.596,False
nos,sp0.90,-25907009.3571,0.0,-33903911.6742,-17910107.04,True
nos,sp1.00,-25907671.2571,0.0,-33904573.6281,-17910768.8862,True
