Function,Dimension,Accuracy,P-Value
f1,d10,0.50,0.9999999707854003
f1,d10,0.60,0.015758551037280785
f1,d10,0.70,0.08596485271913673
f1,d10,0.80,0.03393409360624221
f1,d10,0.90,0.22847530983478204
f1,d10,1.00,0.07392329135718094
f1,d30,0.50,0.9999999707854003
f1,d30,0.60,0.07778496629387124
f1,d30,0.70,3.3368257152001088e-06
f1,d30,0.80,3.0073985026600743e-07
f1,d30,0.90,7.074398504212945e-06
f1,d30,1.00,6.173175077478352e-08
f2,d10,0.50,0.9979309894422503
f2,d10,0.60,9.014845860541547e-07
f2,d10,0.70,3.397807564086679e-08
f2,d10,0.80,3.397807564086679e-08
f2,d10,0.90,3.397807564086679e-08
f2,d10,1.00,3.397807564086679e-08
f2,d30,0.50,0.016296666766548933
f2,d30,0.60,3.397807564086679e-08
f2,d30,0.70,3.397807564086679e-08
f2,d30,0.80,3.397807564086679e-08
f2,d30,0.90,3.397807564086679e-08
f2,d30,1.00,3.397807564086679e-08
f4,d10,0.50,0.9999999707854003
f4,d10,0.60,3.17900213024822e-08
f4,d10,0.70,3.2382609592080143e-08
f4,d10,0.80,2.5121802258212632e-08
f4,d10,0.90,2.0650135370884132e-08
f4,d10,1.00,2.0650135370884132e-08
f4,d30,0.50,0.9999999707854003
f4,d30,0.60,3.397807564086679e-08
f4,d30,0.70,3.397807564086679e-08
f4,d30,0.80,3.397807564086679e-08
f4,d30,0.90,3.397807564086679e-08
f4,d30,1.00,3.397807564086679e-08
f8,d10,0.50,0.9999999708684908
f8,d10,0.60,6.347630382594384e-07
f8,d10,0.70,5.224215798473099e-07
f8,d10,0.80,6.849074319222476e-07
f8,d10,0.90,0.00017784660209563299
f8,d10,1.00,2.963927734559275e-07
f8,d30,0.50,0.9999999707854003
f8,d30,0.60,0.34744550993388323
f8,d30,0.70,4.146208387244666e-05
f8,d30,0.80,6.2525818514871214e-06
f8,d30,0.90,3.454146183980308e-07
f8,d30,1.00,4.298722408785759e-06
f13,d10,0.50,0.9999999709927411
f13,d10,0.60,1.9668495018627156e-06
f13,d10,0.70,3.035728045924264e-07
f13,d10,0.80,2.7818904153298327e-08
f13,d10,0.90,1.7806091762393274e-07
f13,d10,1.00,3.3813843255809946e-08
f13,d30,0.50,0.9999999707854003
f13,d30,0.60,2.3402016193169243e-05
f13,d30,0.70,3.3930193083693134e-08
f13,d30,0.80,3.3691658744856235e-08
f13,d30,0.90,5.3010190284585796e-08
f13,d30,1.00,3.378689703156949e-08
f15,d10,0.50,0.9999998520123133
f15,d10,0.60,0.04051587462092551
f15,d10,0.70,6.0969673856682495e-05
f15,d10,0.80,1.2945978212275807e-05
f15,d10,0.90,2.931502144088925e-05
f15,d10,1.00,0.0002667110682247389
f15,d30,0.50,0.9999999707854003
f15,d30,0.60,0.10919195739958071
f15,d30,0.70,7.998617623172388e-06
f15,d30,0.80,0.0010696306978677111
f15,d30,0.90,0.00028145177994706375
f15,d30,1.00,7.998617623172388e-06
