,0.5,0.6,0.7,0.8,0.9,1
339,,,,,,
340,,,,,1632.328992,
341,,,,,,
342,,,,,,
343,,,,,,
344,,,,,,
345,13087.97314,,,,,
346,,,,,,
347,,,,,,
348,,,,,,560.4180903
349,,,,3290.592734,,
350,,,,,,
351,,,,,,
352,,,,,,
353,,7216.314943,,,,
354,,,6709.100462,,,
355,,,,,,
356,,,,,,
357,,,,,1448.547649,
358,,,,,,
359,,,,,,
360,,,,,,
361,,,,,,560.4180903
362,,,,,,
363,,,,,,
364,,,,,,
365,,,,3290.592734,,
366,,,,,,
367,12231.34762,,,,,
368,,,,,1448.547649,
369,,,,,,
370,,,,,,
371,,,,,,
372,,,,,,
373,,,,,,560.4180903
374,,,,,,
375,,,,,,
376,,7216.314943,,,,
377,,,6016.765572,,,
378,,,,,,
379,,,,,,
380,,,,2176.512397,,
381,,,,,,
382,,,,,,
383,,,,,1448.547649,
384,,,,,,
385,,,,,,
386,,,,,,
387,,,,,,560.4180903
388,,,,,,
389,,,,,,
390,11934.89613,,,,,
391,,,,,,
392,,,,,,
393,,,,,,
394,,,,,,
395,,,,,,
396,,8291.544794,,,,
397,,,,2176.512397,,
398,,,,,,
399,,,,,1448.547649,510.1300944
400,,,5582.914782,,,
401,,,,,,
402,,,,,,
403,,,,,,
404,,,,,,
405,,,,,,
406,,,,,,
407,,,,,,
408,,,,,,
409,,,,,,
410,11934.89613,,,,,
411,,,,,,313.4300374
412,,,,2176.512397,,
413,,,,,,
414,,5362.955836,5089.722105,,,
415,,,,,1448.547649,
416,,,,,,
417,,,,,,
418,,,,,,
419,,,,,,
420,,,,,,
421,,,,,,
422,,,,,,313.4300374
423,,,,2176.512397,,
424,,,,,,
425,,,,,,
426,,,,,,
427,,,,,,
428,,,,,,
429,11934.89613,,,,,
430,,,,,,
431,,,,,1196.529651,
432,,,,,,
433,,,,,,
434,,11151.78416,,,,
435,,,5315.685356,,,
436,,,,,,
437,,,,,,313.4300374
438,,,,,,
439,,,,2176.512397,,
440,,,,,,
441,,,,,,
442,,,,,,
443,,,,,,
444,,,,,,
445,,,,,,
446,,,,,,
447,,,,,,
448,,,,,,
449,,,,,,
450,,,,,854.9339467,
451,,,,,,
452,11256.85318,11151.78416,,,,
453,,,,,,
454,,,,,,313.4300374
455,,,5582.914782,,,
456,,,,,,
457,,,,,,
458,,,,,,
459,,,,2176.512397,,
460,,,,,,
461,,,,,,
462,,,,,,
463,,,,,,
464,,,,,,
465,,,,,811.1602323,
466,,,,,,
467,,,,,,
468,,,,,,
469,5138.28449,,,,,313.4300374
470,,,,,,
471,,,,,,
472,,9569.961813,,,,
473,,,,,,
474,,,,,,
475,,,,,,
476,,,5582.914782,,,
477,,,,,,
478,,,,2317.763376,,
479,,,,,,
480,,,,,,
481,,,,,,
482,,,,,,
483,,,,,,261.4080875
484,,,,,,
485,,,,,,
486,,,,,,
487,,,,,669.3336685,
488,11256.85318,,,,,
489,,,,,,
490,,,,,,
491,,,,,,
492,,7562.464514,,,,
493,,,5640.078448,,,
494,,,,,,
495,,,,,,
496,,,,,,
497,,,,,,206.3590145
498,,,,,,
499,,,,,669.3336685,
500,,,,2317.763376,,
501,,,,,,
502,,,,,,
503,,,,,,
504,,,,,,
505,,,,,,
506,,,,,,
507,,,,,,
508,,,,,,206.3590145
509,,,,,,
510,11256.85318,,,,,
511,,,,,,
512,,,,,,
513,,,,,669.3336685,
514,,,3020.165865,2186.711083,,
515,,5936.03976,,,,
516,,,,,,
517,,,,,,
518,,,,,,
519,,,,,,
520,,,,,,
521,,,,,,206.3590145
522,,,,,,
523,,,,,,
524,,,,,,
525,,,,,,
526,,,,,,
527,8620.090331,,,,,
528,,,,,669.3336685,
529,,,,1101.702814,,
530,,,,,,
531,,5936.03976,,,,
532,,,,,,206.3590145
533,,,,,,
534,,,3020.165865,,,
535,,,,,,
536,,,,,,
537,,,,,,
538,,,,,,
539,,,,,,
540,,,,,,
541,,,,,,
542,,,,,,
543,,,,,,
544,8620.090331,,,,,
545,,,,,669.3336685,
546,,,,,,
547,,,,,,206.3590145
548,,,,1086.895488,,
549,,5956.852124,,,,
550,,,3020.165865,,,
551,,,,,,
552,,,,,,
553,,,,,,
554,,,,,,
555,,,,,,
556,,,,,,
557,,,,,,
558,,,,,,
559,,,,,,
560,,,,,,
561,,,,,,171.8875167
562,,,,,,
563,,,,,406.4723984,
564,11256.85318,,,,,
565,,,,,,
566,,,,,,
567,,,,,,
568,,,,851.7642548,,
569,,5956.852124,,,,
570,,,,,,
571,,,,,,
572,,,,,,
573,,,3322.033873,,,
574,,,,,,
575,,,,,,
576,,,,,,
577,,,,,,161.3229923
578,,,,,,
579,,,,,,
580,,,,,,
581,,,,,406.4723984,
582,,,,,,
583,,,,,,
584,,,,,,
585,12453.53777,,,,,
586,,,,1086.895488,,
587,,,,,,
588,,,,,,
589,,5099.883682,,,,
590,,,3322.033873,,,
591,,,,,,161.3229923
592,,,,,,
593,,,,,406.4723984,
594,,,,,,
595,,,,,,
596,,,,,,
597,,,,,,
598,,,,,,
599,,,,,,
600,,,,,,
601,,,3204.672247,919.0077892,,
602,,,,,,
603,,,,,,
604,11121.79133,,,,,
605,,,,,,161.3229923
606,,,,,,
607,,,,,,
608,,3965.841189,,,,
609,,,,,,
610,,,,,,
611,,,,,,
612,,,,,406.4723984,
613,,,,,,
614,,,,,,
615,,,,,,
616,,,,,,
617,,,,,,
618,,,,,,
619,,,,,,
620,,,,,,
621,,,3204.672247,,,
622,,,,764.7748871,,
623,,,,,,154.6439289
624,11121.79133,,,,,
625,,,,,,
626,,,,,,
627,,,,,406.4723984,
628,,,,,,
629,,,,,,
630,,,,,,
631,,,,,,
632,,,,,,
633,,,,,,131.9355362
634,,,,,,
635,,3965.841189,,,,
636,,,,,,
637,,,,,,
638,,,,764.7748871,,
639,,,3106.166476,,,
640,,,,,378.1518199,
641,,,,,,
642,,,,,,
643,,,,,,
644,12617.49546,,,,,131.9355362
645,,,,,,
646,,,,,,
647,,,,,,
648,,,,,,
649,,,,,,
650,,,,,,
651,,,,,,
652,,,,,,
653,,,,,378.1518199,
654,,,,,,
655,,,,919.0077892,,
656,,6224.048154,,,,
657,,,,,,
658,,,,,,127.5031019
659,,,3106.166476,,,
660,,,,,,
661,,,,,,
662,,,,,,
663,,,,,,
664,,,,,,
665,,,,,,
666,,,,,,
667,,,,,,
668,6713.435609,,,,,
669,,,,,,
670,,,,,238.8330624,
671,,,,,,
672,,,,919.0077892,,
673,,,,,,127.5031019
674,,,,,,
675,,,,,,
676,,6224.048154,,,,
677,,,,,,
678,,,,,,
679,,,,,,
680,,,,,,
681,,,,,,
682,,,,,,
683,,,,,,
684,,,3089.249343,,,122.5777931
685,,,,,,
686,,,,,,
687,,,,,,
688,,,,919.0077892,238.8330624,
689,,,,,,
690,,,,,,
691,,,,,,
692,,,,,,
693,14080.08502,,,,,
694,,,,,,
695,,,,,,
696,,,,,,103.1034533
697,,,,,,
698,,,3089.249343,,,
699,,,,,,
700,,,,,,
701,,6224.048154,,,,
702,,,,,,
703,,,,,,
704,,,,,,
705,,,,883.0909898,238.8330624,
706,,,,,,
707,,,,,,
708,,,,,,
709,,,,,,
710,,,,,,89.86792193
711,,,,,,
712,,,,,,
713,,,,,,
714,,,,,,
715,10821.11666,6224.048154,,,,
716,,,,,,
717,,,,883.0909898,238.8330624,
718,,,,,,
719,,,2619.307352,,,
720,,,,,,
721,,,,,,
722,,,,,,89.86792193
723,,,,,,
724,,,,,,
725,,,,,,
726,,,,,,
727,,,,,,
728,,,,,,
729,,,,,,
730,,,,,,
731,,,,,,
732,,,,,,89.86792193
733,8817.54315,,,,,
734,,4035.470012,2619.307352,,,
735,,,,,,
736,,,,,238.8330624,
737,,,,,,
738,,,,,,
739,,,,,,
740,,,,883.0909898,,
741,,,,,,
742,,,,,,56.78915492
743,,,,,,
744,,,,,,
745,,,,,,
746,,,,,,
747,,,,,,
748,,,,,238.8330624,
749,,,,,,
750,9293.796521,,,,,56.78915492
751,,4035.470012,,,,
752,,,,,,
753,,,,,,
754,,,,,,
755,,,,,,
756,,,,,,
757,,,2619.307352,,,
758,,,,1149.652973,,56.78915492
759,,,,,,
760,,,,,,
761,,,,,,
762,,,,,,
763,,,,,,
764,,,,,,
765,,,,,,
766,,,,,238.8330624,
767,,,,,,
768,,,,,,
769,7301.34352,,,,,56.78915492
770,,,,,,
771,,,,,,
772,,,,,,
773,,3704.195464,,1097.716921,,
774,,,,,,
775,,,,,,
